name,type,asset_type,Name,asset_no,label_location,label_notes,serial_no,model_no,location,description
Media Player (Brightsign) 0063,equipment,Media Player,Brightsign,63,top,,40G16E000595,HD410,Pliosaur,
Amplifier (Lvpin) 0064,equipment,Amplifier,Lvpin,64,bottom,,NONE,LP-2020A,Pliosaur,
Media Player (Brightsign) 0065,equipment,Media Player,Brightsign,65,top,,40G165000896,HD410,Pliosaur,
Amplifier (Lvpin) 0066,equipment,Amplifier,Lvpin,66,bottom,,NONE,LP-2020A,Pliosaur,
Media Player (Brightsign) 0067,equipment,Media Player,Brightsign,67,top,,40F039000053,HD410,Pliosaur,
Cieling speaker 6.5inch (Apart) ,equipment,Cieling speaker 6.5inch,Apart,,,item is not of much value,none,CM6E,Pliosaur,
Cieling speaker 6.5inch (Apart) ,equipment,Cieling speaker 6.5inch,Apart,,,item is not of much value,none,CM6E,Pliosaur,
Cieling speaker 6.5inch (Apart) ,equipment,Cieling speaker 6.5inch,Apart,,,item is not of much value,none,CM6E,Pliosaur,
gpio button board (unkown) ,equipment,gpio button board,unkown,,,no where to put lable,,D815M REV1.0,Pliosaur,
gpio button board (unkown) ,equipment,gpio button board,unkown,,,no where to put lable,,D815M REV1.0,Pliosaur,
gpio button board (unkown) ,equipment,gpio button board,unkown,,,no where to put lable,,D815M REV1.0,Pliosaur,
Amplifier (Kramer Tools) 00068,equipment,Amplifier,Kramer Tools,68,top,,2100825657,900,Pliosaur,
ipad (Apple) 00069,equipment,ipad,Apple,69,back,,F6QTT011G5VV,ipad air 2,Zahid Office,16gb Gold
