Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
1891978564,the-pool-game-greetings-card-mfa102-1,The pool game greetings card mfa102/1 - Default Title,0,,7,2.5,0.89,Stationary and Greeting cards,Canns Down Press Ltd
2522671172,the-port-of-bristol-book-12-99,The port of Bristol book £12.99 - Default Title,0,,9,12.99,6.5,Books,Heritage books
20935483205,the-pre-raphaelites,The Pre Raphaelites - Default Title,3,,2,6.95,0,Books,Heritage books
5909191301,the-pre-raphelite-vision-mini-book,The pre-Raphaelite vision mini book - Default Title,3,,18,5.95,3.57,Books,Heritage books
9009115269,the-pre-raphaelites-romance-and-realism-7-95,The Pre-Raphaelites -Romance and Realism - Default Title,0,,20,7.95,4.77,Books,Heritage books
9009173893,the-pre-raphaelites-from-rossetti-to-ruskin-14-99,The Pre-Raphaelites from Rossetti to Ruskin £14.99 - Default Title,1,,4,14.99,8.99,Books,Heritage books
17607998981,the-prom-bar-bp11-postcard,The Prom Bar BP11 Postcard - Default Title,82,,18,0.7,0,Stationary and Greeting cards,Star editions
17609301253,the-prom-bar-bp11gc,The Prom Bar BP11GC - Default Title,3,,8,2.5,0,Stationary and Greeting cards,Star editions
1395443844,the-slave-trade,The Slave Trade - Default Title,6,1,34,7.95,4.77,Books,Heritage books
17890734981,the-slave-trade-history-files,The Slave Trade History Files - Default Title,31,9.7805E+12,27,12.95,0,Books,Heritage books
21088289925,the-staffordshire-hoard,The Staffordshire Hoard Book - Default Title,129,,1056,5,0,Books,Birmingham Museum
4102181061,book-the-story-of-art,The story of Art - Default Title,5,,6,24.95,14.97,Books,Heritage books
24104048389,the-story-of-bristol,The Story of Bristol - Default Title,19,,4,9.99,0,Books,Heritage books
24173876421,the-story-of-life,The Story of Life - Default Title,3,,6,12.99,0,Books,Heritage books
24175733253,the-story-of-the-world-in-100-species,The Story of the World in 100 Species - Default Title,6,,4,20,0,Books,Heritage books
20003317637,the-sun-worshippers-cdp-5a-3,The Sun Worshippers CDP 5A/3 - Default Title,-1,CDP 5A3,7,2.25,0,Stationary and Greeting cards,Canns Down Press Ltd
4087125253,the-twelve-caesar-coin-pack-12-50,The Twelve Caesar Coin Pack £12.50 - Default Title,2,,8,12.5,5,Souvenirs,Westair
17063239557,the-usborne-book-of-famous-artists,The Usborne Book of Famous Artists - Default Title,6,,19,9.99,5.99,Books,Heritage books
1356304004,the-usborne-book-of-famous-paintings,The Usborne book of Famous Paintings - Default Title,5,1,4,12.99,0,Books,Bristol Museums shop
16731960581,the-waterwheel-card-12wpb-1,The Waterwheel Card 12WPB/1 - Default Title,-18,,37,2.25,0.89,Stationary and Greeting cards,Canns Down Press Ltd
16731959813,the-waterwheel-cdp-76b-1,The Waterwheel CDP 76B/1 - Default Title,47,,23,2.25,0.89,Stationary and Greeting cards,Canns Down Press Ltd
19810722885,this-book-thinks-youre-a-scientist,This Book Thinks You're A Scientist - Default Title,0,,13,8.95,0,Books,Heritage books
1396973124,bristol-clifton-suspension-bridge-3,Thompson24 Postcard - Default Title,1,,323,0.7,0.23,Stationary and Greeting cards,Star editions
3370166981,tiger-magnet-2-00,Tiger magnet £2.00 - Default Title,-1,,2,2,0.8,Souvenirs,nature planet
